outcome_type,in_type,treatment,metric,value,model_type,exons,length,rc,replicate
quantiles_per_treatment,6-mer,MeJA,Accuracy,0.6186395286555972,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,MeJA,MCC,0.235899650750601,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,MeJA,F1,0.600448933782267,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,MeJA,AUC,0.6592237493279662,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA,Accuracy,0.610657966286025,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA,MCC,0.2207599017485815,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA,F1,0.5963923337091318,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA,AUC,0.6506174157503292,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA+MeJA,Accuracy,0.6172967374417401,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA+MeJA,MCC,0.232850027934173,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA+MeJA,F1,0.597713663581927,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,SA+MeJA,AUC,0.6561976711650631,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA,Accuracy,0.5724381625441696,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA,MCC,0.1444599357450349,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA,F1,0.561367167270844,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA,AUC,0.6157919419296958,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA+MeJA,Accuracy,0.6104092976250631,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA+MeJA,MCC,0.2195499218058334,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA+MeJA,F1,0.5931398416886544,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,ABA+MeJA,AUC,0.6618214295224888,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,3-OH10,Accuracy,0.7170111287758346,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,3-OH10,MCC,0.2949243880408814,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,3-OH10,F1,0.4539877300613497,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,3-OH10,AUC,0.7432036585611539,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,chitooct,Accuracy,0.708667152221413,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,chitooct,MCC,0.3195435704795365,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,chitooct,F1,0.4858611825192802,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,chitooct,AUC,0.7433796393340575,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,elf18,Accuracy,0.6032803690415172,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,elf18,MCC,0.2056860889149166,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,elf18,F1,0.5891719745222931,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,elf18,AUC,0.6453145395595604,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,flg22,Accuracy,0.6475485661424607,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,flg22,MCC,0.2952820470097995,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,flg22,F1,0.6481994459833795,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,flg22,AUC,0.7107134298723083,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,nlp20,Accuracy,0.5906579608237067,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,nlp20,MCC,0.1811796381806804,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,nlp20,F1,0.5831202046035805,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,nlp20,AUC,0.6222308848241986,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,OGs,Accuracy,0.628707627118644,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,OGs,MCC,0.2537328504279053,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,OGs,F1,0.5936231884057972,linear,not apply,2048,True,not apply
quantiles_per_treatment,6-mer,OGs,AUC,0.679696584178055,linear,not apply,2048,True,not apply
